nform,nper_enc,dpto_cod,fecha,codigo,a1,a2,a3,a4,a4a,a4b,a5,a5a,a6,a7,a8,a91,a92,a93,a94,a95,a96,a97,a98,a99,a910,a911,a912,a913,a914,a915,a916,a917,a918,a919,b1,b2,b3a,b3b,b4,b5,b6,b7,b8,b9a,b9b,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b20a,b21,gra1,grb1,grc1,grd1,gre1,grh1,grf1,gra2,grb2,grc2,grd2,gre2,grh2,grf2,gra3,grb3,grc3,grd3,gre3,grh3,grf3,gra4,grb4,grc4,grd4,gre4,grh4,grf4,gra5,grb5,grc5,grd5,gre5,grh5,grf5,aca1,aca2,acb1,acb2,acc1,acc2,acd1,acd2,ace1,ace2,acf1,acf2,acg1,acg2,ach1,ach2,aci1,aci2,acj1,acj2,ack1,ack2,acl1,acl2,acm1,acm2,acn1,acn2,aco1,aco2,b23,b24,b25,b26,b27,b28,sem,men,b301,b302,b303,b304,b305,b306,b307,b308,esp1,b31a,b31b,b31c,b32a,b32b,b32c,b32d,b32e,b32f,b32g,b32h,b32i,b32j,b32k,b32l,b32m,b32n,b32o,b32p,b32q,b32r,b32s,b32t,b32u,b32v,b32w,b32x,b32y,b32z,b32ll,b33a,b33,b34,b35,b36,b37,c1,c1_cod,c2,c3,c4,c5,c6,c7,sexent,c8,c9,c10a,c10b,c10c,c11a,c11b,c12,c13,c14,man1,maa1,mab1,mac1,mad1,mae1,maf1,man2,maa2,mab2,mac2,mad2,mae2,maf2,man3,maa3,mab3,mac3,mad3,mae3,maf3,man4,maa4,mab4,mac4,mad4,mae4,maf4,man5,maa5,mab5,mac5,mad5,mae5,maf5,c15,c16,c17,c18a,c18b,c18c,da1,db1,dc1,dd1,de1,df1,dha1,dhb1,dhc1,dhd1,dg1,dg1_cod,da2,db2,dc2,dd2,de2,df2,dg2,dg2_cod,dha2,dhb2,dhc2,dhd2,e1a,e1b,e1c,e1d,e1e,e1f,e1g,e1h,e1i,e1j,e2,esp2,e3,e4,e5,e6,e7,e8a,e8b,e8c,e9,e10,e11,e12,e13a,e13b,e13c,e13d,e13e,e13f,e13g,e14a,e14b,e14c,e14d,e14e,e14f,e14g,e14h,e14i,e14j,e14k,e14l,e14m,e14n,e14o,e14p,e14q,e14r,e14s,e14t,e14u,e14v,e14w,e14x,e15a,e15b,e16,e17,e18a,e18b,e19,e20,e2110,e212,e213,e214,e215,e216,e217,e218,e219,e22,e23a,e23b,e23c,e23d,e23e,e24,e25a,e25b,e25c,e25d,e26a,e26b,e26c,e26d,e26e,e27a,e27b,e27c,e27d,e27e,e27f,e27g,e27h,e27i,e27j,e27k,e27l,e28,e29a,e29b,e29c,e30a,e30b,e30c,e3a1,e3a2,e3a3,e3b1,e3b2,e3b3,e3e1,e3e2,e3e3,e3g1,e3g2,e3g3,e3d1,e3d2,e3d3,e3c1,e3c2,e3c3,h14,h15,obs1,obs2,obs3,ola,b14a,b14b,b14c,b14d,b14e,b14f,b14g,b14h,b14i,b14j,b14k,b14l,b14m,b14n,b14o,b14p,b14q,b14r,b14s,b14t,b14u,pesof_09antrop,tallaf_09antrop,__09_zteantrop,__09_zimceantrop,esc_pr
1089,2,1,06 Oct 11,20,2,1,1997,2,,,1,,4,1,2,1,2,1,2,1,1,2,1,1,2,1,2,1,1,2,2,1,1,1,1,2,0,0,1,,2,4,0,,,5,2,1,3,4,5,1,2,2,,,,5,soledad,3,5,2,11,1,2,valentina,3,5,2,13,1,2,micaela,3,5,2,14,3,2,romina,1,5,2,14,1,1,evelin,2,3,2,13,4,2,1,2,1,5,1,35,2,,1,15,1,3,1,4,2,,1,2,2,,2,,2,,1,1,2,,2,,1,35,2,,2,,,,1,2,2,1,2,2,1,2,,4,1,3,3,3,1,3,3,1,3,1,3,3,3,2,2,3,1,3,3,2,1,3,3,1,2,2,3,1,2,1,,,,,,salto,15,18,2,37,2,2,1,2,,2,1,20,2010,2,,ninguno,2,5,daniel,4,4,1,57,3,2,pedro,5,5,2,58,2,1,valeria,3,5,2,40,3,4,paola,3,5,2,38,3,1,raquel,4,3,2,53,2,1,3,1,20000,1,1,1,1,2,,86,9,2,1,5,,,salto,15,1,2,,88,9,2,salto,15,8,,,,3,3,3,5,5,5,5,5,3,5,7,,3,2,1,1,1,7,6,5,2,2,2,2,1,2,1,1,1,1,1,8,2,1,10,10,10,10,10,10,10,10,10,10,10,8,8,1,10,10,10,8,10,10,10,7,4,1,3,1,4,1,3,1,7,10,10,10,10,8,7,2,4,3,9,9,4,3,15,1,1,1,4,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,1,4,4,,,,,,,2,1,1,2,2,1,2,2,1,2,2,9,2,2,2,2,1,2,10000,0,,,,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,157,.81999999,-.25,827
1090,2,1,02 Oct 11,20,1,1,2000,1,,,1,,2,1,1,1,1,2,1,1,1,2,1,2,2,1,2,1,2,1,2,1,2,1,1,1,1,0,1,,1,2,4,1,,3,4,1,2,19,3,1,2,2,,,,3,tuti,1,5,1,13,2,2,gonzalo,1,5,1,17,ns_nc,2,el negrito,1,5,1,13,3,2,,,,,,,,,,,,,,,1,1,2,,1,14,2,,1,1,2,,2,,2,,1,2,2,,2,,1,1,1,1,2,,2,,2,,2,,1,1,20,,2,1,2,2,2,1,1,2,,3,1,5,3,3,2,2,3,1,2,1,3,2,2,2,1,2,1,2,2,1,1,3,3,1,2,1,2,1,2,2,1,1,8,0,4,tacuarembo,18,15,2,19,6,6,2,2,,1,1,5,2010,2,,ninguno,4,sin amigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,10000,2,1,2,1,1,48,,9,2,1,,,,tacuarembo,18,2,,,,,,0,,,,,,5,5,5,ns_nc,2,4,5,ns_nc,5,3,1,,1,2,ns_nc,1,1,8,5,2,1,2,ns_nc,3,3,1,1,1,1,1,1,5,1,1,3,9,10,10,1,10,1,10,1,1,1,1,10,1,10,10,10,1,10,10,10,5,10,1,ns_nc,1,2,4,1,1,1,1,1,10,10,1,1,1,4,2,4,9,9,4,12,1,1,1,1,2,2,2,1,1,3,3,4,4,4,4,4,3,4,4,1,4,4,,,,,,,1,2,1,1,1,1,1,9,1,2,2,1,2,2,1,2,9,1,5000,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29,135,-2.1099999,-.97000003,827
1091,3,1,01 Oct 11,20,2,1,1953,10,,,1,,3,1,2,1,2,2,2,1,1,2,1,1,2,1,2,2,1,2,2,1,1,2,3,1,1,0,2,13,,,,,,,,1,1,1,4,1,1,2,,,,1,leandro,1,5,1,17,ns_nc,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,1,21,2,,1,42,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,1,3,2,,2,,,,1,1,2,1,2,2,2,2,,2,1,1,3,1,2,1,3,3,2,3,3,1,3,1,3,3,3,ns_nc,3,2,1,1,ns_nc,3,1,1,1,3,1,2,1,1,7,0,4,montevideo,1,18,2,22,2,2,2,2,,1,1,9,1990,2,,ninguno,2,5,paulino,3,5,1,43,2,1,ramon,3,5,1,51,2,1,yolanda,3,5,2,50,2,1,sofia,2,5,2,64,4,5,maria,5,5,2,70,2,5,3,4,25000,1,1,1,1,2,,83,11,2,1,3,,,montevideo,1,1,2,,83,9,2,montevideo,1,7,,,,4,3,2,ns_nc,4,5,ns_nc,ns_nc,3,3,2,,5,1,ns_nc,1,1,7,5,8,1,1,1,2,1,2,2,1,2,1,1,10,8,3,10,10,10,10,10,10,10,10,2,2,5,5,5,5,5,10,10,5,10,10,10,5,8,8,3,4,4,3,2,4,10,10,10,10,10,10,10,2,4,2,9,4,2,3,5,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,3,4,4,4,1,3,4,,,,,,,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,9,9,2,0,3000,hace changas,,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,158,.46000001,-.43000001,827
1093,2,1,17 Dec 11,107,2,1,2002,2,,,1,,2,2,2,2,2,2,1,1,2,2,1,1,2,1,2,1,1,1,2,2,2,1,1,1,0,2,1,,1,ninguna,25,2,Ns_Nc,4,3,1,1,10,5,1,2,2,,,,1,santiago gonzalez,3,5,1,9,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,2,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,,,1,1,2,2,2,2,2,2,,2,1,1,3,3,1,3,2,1,3,3,3,1,3,2,1,3,1,3,3,1,1,3,1,1,3,1,3,1,3,1,,,,,,montevideo,1,30,2,15,6,6,6,2,,1,1,ns_nc,ns_nc,1,2,ninguno,2,sin amigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,30000,2,2,2,1,1,60,,ns_nc,ns_nc,1,,,,montevideo,1,1,1,62,,9,2,montevideo,1,8,,,,5,5,5,1,5,1,ns_nc,1,5,5,7,,3,2,ns_nc,1,1,1,1,1,1,1,1,1,3,2,2,2,2,1,1,10,10,1,10,10,10,10,1,2,10,10,10,10,10,5,5,10,10,10,10,10,10,10,10,1,6,1,3,2,1,2,1,1,10,5,10,10,5,10,10,10,4,9,9,9,4,9,ns_nc,2,2,2,2,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,1,4,4,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,,,,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,34,148,-.49000001,-1.3099999,827
1095,3,1,10 Dec 11,8,2,1,2001,6,,,1,,2,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,0,0,1,,2,2,0,,,4,3,1,1,20,1,1,2,2,,,,2,evelin,2,2,2,13,3,2,caterin,1,5,2,13,3,2,,,,,,,,,,,,,,,,,,,,,,1,1,1,ns_nc,2,,2,,1,35,2,,1,3,2,,2,,2,,1,2,2,,2,,2,,2,,1,5,2,,2,,,,2,2,1,2,2,2,1,2,,3,7,ns_nc,2,3,2,3,2,1,2,1,3,3,3,1,1,3,3,2,3,1,2,3,1,1,1,2,1,1,3,1,,,,,,canelones,3,14,2,19,2,2,2,2,,1,1,1,2011,2,,5,2,1,noel,3,5,2,33,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,50000,2,2,2,1,2,,52,9,4,1,6,,,montevideo,1,1,1,70,,9,2,rocha,14,5,,,,3,2,4,4,4,4,ns_nc,4,4,4,7,,4,2,1,1,1,2,9,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10,10,10,2,1,1,3,2,2,3,1,10,10,10,10,10,10,5,8,1,4,3,9,4,5,4,15,1,1,1,1,2,2,2,2,1,4,3,3,4,4,4,4,4,4,4,1,4,4,,,,,,,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,14000,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52,154,.55000001,1.36,907
1097,2,1,25 Sep 11,18,2,1,2001,2,,,1,,4,1,1,1,2,2,1,1,1,2,2,2,2,1,2,1,1,1,1,2,1,1,2,1,1,1,1,,1,1,5,1,,2,3,1,1,1,5,1,2,2,,,,5,anderson,3,4,1,14,3,2,matias,3,5,1,17,4,2,alfredo,3,5,1,17,1,2,juan,3,3,1,12,2,2,gerardo,3,5,1,10,2,2,2,,1,2,1,7,2,,1,5,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,1,1,2,1,2,1,1,2,,3,1,5,3,3,1,3,1,1,3,1,3,1,3,1,1,3,3,1,3,1,1,3,3,1,3,1,3,3,3,1,,,,,,rivera,13,18,1,19,3,3,3,2,,1,1,4,2010,2,,ninguno,1,5,charito,3,5,2,28,3,1,mary,3,5,2,32,2,1,beatriz,3,5,2,28,2,4,maria,3,5,2,42,2,1,estephani,3,5,2,22,3,1,5,2,10000,2,2,2,1,2,,42,11,5,8,,,,rivera,13,1,1,68,,4,2,rivera,13,8,,,,5,5,5,5,5,5,3,5,5,5,1,,3,2,1,1,1,5,5,4,1,1,1,2,3,3,3,3,1,1,1,10,1,10,10,10,10,10,10,10,10,10,1,10,10,1,10,1,10,10,10,10,10,10,10,5,5,6,ns_nc,2,3,2,2,10,10,6,10,10,10,10,5,5,9,9,9,9,9,9,6,2,2,4,2,2,2,2,2,2,4,4,4,4,4,4,4,3,4,4,1,4,4,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10000,0,,,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,165,1.3,.69,907
1098,2,1,23 Sep 11,18,2,1,2009,5,6000,,1,,3,1,2,1,2,1,1,1,1,2,1,2,2,1,2,1,1,1,2,2,1,1,1,2,0,0,1,,1,1,1,2,el clima,5,3,2,,,4,1,2,2,,,,4,matias,1,3,1,14,4,2,juan,2,2,1,14,4,2,gonzalo,2,3,1,13,4,2,llina,1,4,2,14,4,2,,,,,,,,2,,2,,1,4,2,,1,3,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,2,,2,,,,1,1,1,1,2,2,2,2,,3,1,4,3,1,1,3,1,3,3,2,3,1,3,1,1,3,1,3,3,1,2,3,2,1,2,3,3,3,3,1,,,,,,durazno,6,14,2,22,2,2,4,1,2,,,,,2,,4,2,5,marcelo,3,5,1,36,2,1,jhon,5,5,1,33,3,1,marcelo,5,5,1,34,3,2,julio,4,5,1,50,ns_nc,1,genaro,4,5,1,62,3,1,2,5,18000,2,2,2,1,1,56,,11,2,1,5,6,,durazno,6,1,1,71,,5,2,durazno,6,1,6,,,4,4,4,5,5,4,5,4,4,4,2,,4,2,1,1,1,6,6,6,ns_nc,2,1,3,1,2,1,1,1,1,1,1,8,5,10,10,10,4,5,10,10,10,1,1,10,1,10,1,10,10,10,7,10,10,10,5,3,5,2,1,1,4,5,10,7,1,10,7,7,10,6,1,3,4,5,4,5,5,ns_nc,1,1,1,1,2,2,2,2,1,3,4,4,4,4,4,4,3,4,4,1,3,4,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,10000,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,150,.38999999,1.64,907
1099,3,1,16 Dec 11,18,2,1,2004,5,3500,,1,,2,1,2,1,1,1,2,1,1,2,1,2,2,1,2,1,2,1,2,2,2,1,1,2,0,0,1,,1,2,0,,,3,3,2,,,5,1,2,2,,,,5,gaston,3,1,1,18,ns_nc,2,leandro,3,2,1,15,1,2,gustavo,3,3,1,20,ns_nc,1,sebastian,3,4,1,20,ns_nc,1,martin,3,3,1,14,1,2,1,5,1,20,1,7,1,2,1,14,2,,2,,2,,2,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,,,2,2,2,2,2,1,1,2,,3,5,5,3,3,1,3,2,1,2,1,3,2,3,ns_nc,3,3,3,1,3,1,1,ns_nc,2,1,3,1,3,1,3,1,,,,,,montevideo,1,12,2,19,2,2,3,2,,1,1,2,2004,2,,10,2,sin amigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,ns_nc,40000,2,2,2,1,1,56,,11,5,2,7,,,salto,15,1,1,57,,9,2,montevideo,1,1,6,,,3,3,2,5,5,5,5,5,2,5,7,,3,2,ns_nc,1,1,5,5,5,ns_nc,2,ns_nc,3,1,1,1,1,3,1,1,10,10,1,10,10,10,5,1,10,10,10,1,1,1,1,5,1,5,10,10,1,10,10,10,4,3,5,3,2,2,4,3,5,5,5,6,6,1,10,1,5,4,2,3,3,4,9,15,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,,,,,,,1,1,1,2,1,1,2,1,1,2,1,1,2,1,2,9,1,9,10000,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,907
1101,2,1,23 Oct 11,20,1,1,2000,4,,,1,,2,1,1,1,2,1,1,1,1,2,1,1,1,1,2,2,2,1,2,2,2,1,1,1,0,1,1,,1,1,8,1,,2,3,2,,,5,1,2,2,,,,5,july,5,2,2,14,ns_nc,2,romina,5,2,2,14,ns_nc,2,cinthia,5,5,2,12,3,2,silvia,3,5,2,16,1,2,micaela,3,5,2,13,1,2,1,3,1,24,1,5,2,,1,49,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,,,2,1,2,2,2,2,1,2,,3,1,1,3,3,3,2,3,1,3,2,3,3,3,1,2,3,3,1,3,2,2,3,3,1,1,1,2,2,3,2,1,3,1,0,1,montevideo,1,17,1,21,4,4,1,2,,1,1,3,2008,2,,ninguno,2,3,romina,5,5,2,30,3,1,daniela,3,5,2,38,3,1,raquel,3,5,2,55,3,1,,,,,,,,,,,,,,,2,5,30000,2,2,2,1,1,65,,9,2,1,,,,montevideo,1,1,2,,52,1,2,montevideo,1,1,,,,5,5,3,5,5,5,ns_nc,5,5,5,1,,5,2,1,2,1,7,5,9,1,2,1,3,1,1,1,1,1,1,1,3,10,5,8,9,8,10,1,7,10,9,10,10,10,1,10,1,10,10,10,1,3,10,10,5,2,5,2,1,2,4,2,6,7,1,10,10,2,1,1,1,4,9,9,4,4,4,4,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4,2,4,4,1,4,4,,,,,,,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,152,-.050000001,1.71,827
1102,3,3,12 Oct 11,20,2,1,2002,7,,,1,,4,1,2,1,2,2,1,1,1,2,2,2,2,1,2,1,2,1,2,1,1,2,2,1,1,0,1,,1,3,0,,,1,3,2,,,4,1,2,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,12,2,,1,6,1,6,2,,2,,1,8,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,1,2,2,2,2,2,2,,3,1,1,3,3,3,3,3,2,2,2,3,3,3,ns_nc,1,3,3,3,3,3,3,3,1,1,2,1,2,1,3,2,ns_nc,,,,,canelones,3,13,2,15,8,8,2,2,,1,1,ns_nc,ns_nc,2,,ninguno,2,sin amigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,6000,2,2,1,1,1,46,,ns_nc,ns_nc,ns_nc,,,,0,,1,2,,70,9,ns_nc,cerro largo,4,8,,,,3,3,3,3,3,3,,,3,3,7,,5,2,ns_nc,2,1,4,5,4,1,1,1,2,1,2,1,1,1,1,1,10,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10,10,10,4,2,5,3,1,1,2,2,5,7,2,10,10,10,2,4,1,4,3,9,5,4,9,3,1,1,1,1,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,137,-2.3499999,.34999999,1532
1103,3,3,12 Oct 11,20,2,1,2002,7,,,1,,4,1,2,1,2,2,1,1,1,2,2,2,2,1,2,1,2,1,2,1,1,2,3,1,3,0,2,15,,,,,,,,2,,,4,1,1,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,1,3,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,4,2,,2,,2,,2,,2,,,,2,1,2,2,2,2,2,2,,6,7,7,3,2,1,3,2,3,2,1,3,1,3,3,1,2,2,3,3,3,3,3,1,1,2,2,2,3,1,2,ns_nc,,,,,canelones,3,13,2,15,8,8,2,2,,1,1,ns_nc,ns_nc,2,,ninguno,2,sin amigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,6000,2,2,1,1,1,46,,ns_nc,ns_nc,ns_nc,,,,0,,1,1,70,,9,ns_nc,cerro largo,4,8,,,,3,3,3,3,3,3,,,3,3,7,,5,2,2,1,1,4,5,4,1,1,1,2,1,2,1,1,1,1,1,10,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10,10,10,5,10,10,10,4,2,5,3,1,1,2,2,5,7,2,10,10,10,2,4,1,4,3,9,5,4,9,3,1,1,1,1,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,156,-.93000001,.30000001,1532
1104,3,3,26 Oct 11,20,2,1,1992,7,,,2,2,6,3,1,2,2,1,1,1,1,2,2,1,2,1,1,1,2,1,2,1,2,1,1,1,0,1,1,,1,ninguna,2,2,llovia y no fue,1,3,2,,,4,1,1,2,,,,5,leo,3,5,1,15,1,1,maxi,3,5,1,15,ns_nc,2,facundo,3,5,1,15,ns_nc,2,fernando,3,5,1,10,2,2,junior,3,5,1,13,2,2,2,,1,14,1,35,2,,1,4,2,,2,,2,,2,,2,,2,,2,,1,14,2,,2,,2,,2,,2,,,,2,1,2,2,2,2,2,2,,3,1,5,3,3,1,3,3,1,1,1,3,3,3,2,3,3,1,3,2,1,3,2,1,1,3,1,3,1,3,2,1,3,7,0,4,treinta y tres,19,16,2,19,9,9,3,2,,1,1,12,2010,2,,ninguno,3,sin amigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,15000,2,2,2,1,2,,54,11,2,8,,,,brasil,54,1,2,,67,9,6,brasil,54,8,,,,5,5,5,5,5,5,ns_nc,5,5,3,1,,5,2,ns_nc,1,1,4,3,4,1,1,1,4,1,2,1,1,1,1,1,10,5,3,10,10,10,10,3,10,10,10,10,10,4,1,5,10,10,10,10,10,10,10,10,5,5,5,3,1,2,2,4,4,5,1,10,5,1,1,3,1,4,9,9,4,4,3,5,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,1,4,4,,,,,,,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,0,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,139,-1.9299999,-.43000001,1532
1105,3,3,13 Oct 11,20,2,1,1988,6,,,1,,6,1,2,1,2,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,1,2,0,0,1,,1,ninguna,0,,,2,3,2,,,4,1,2,2,,,,1,Sin nombre,3,5,1,16,ns_nc,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,21,1,21,2,,1,60,2,,2,,2,,2,,2,,2,,1,2,2,,2,,2,,2,,2,,2,,,,1,1,2,1,2,2,2,2,,3,5,5,3,1,3,1,1,1,3,1,3,1,ns_nc,1,1,3,3,1,3,1,1,3,3,1,1,1,3,2,3,1,,,,,,montevideo,1,15,2,20,8,8,4,2,,1,2,,,2,,ninguno,2,1,Sin nombre,5,5,2,60,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,15000,2,2,2,1,2,,80,11,1,8,,,,minas,9,1,2,,65,9,2,flores,7,3,5,,,5,5,1,1,5,5,5,1,5,5,7,,1,2,1,1,1,9,1,9,1,2,1,4,3,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,10,ns_nc,2,4,2,2,1,7,10,10,10,10,10,4,4,4,9,9,4,9,4,12,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,1,2,4,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20000,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,149,-.67000002,-.46000001,1532
1108,3,1,10 Oct 11,3,2,1,1985,2,,,2,3,2,1,2,1,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,2,2,1,0,1,,1,ninguna,1,1,,3,4,2,,,4,1,2,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,10,1,20,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,1,2,2,2,2,2,2,2,,4,5,5,3,1,1,3,1,1,3,1,3,1,3,1,1,3,1,3,3,2,1,3,2,1,1,2,2,2,1,1,,,,,,montevideo,1,15,2,25,5,4,2,2,,2,2,,,2,,20,2,sin amigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,40000,2,2,2,1,2,,62,9,2,1,,,,montevideo,1,1,1,72,,9,2,montevideo,1,8,,,,3,4,2,3,3,3,3,3,2,3,1,,4,2,1,1,1,1,1,1,1,1,1,3,2,1,3,3,1,1,3,10,10,1,10,10,10,10,1,10,10,10,1,1,10,5,5,10,10,10,10,10,10,10,10,1,1,1,3,2,2,4,3,1,1,1,1,1,1,10,1,1,4,2,3,4,4,3,4,1,1,1,1,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,3,4,4,,,,,,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,11000,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,147,-.02,.73000002,934
1109,3,3,27 Oct 11,20,2,1,1998,7,,,1,,3,1,2,1,2,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,2,0,0,1,,1,2,0,,,5,2,2,,,5,1,2,2,,,,5,carila,1,5,2,14,4,2,cristian,1,5,2,14,4,2,sofia,2,2,2,14,4,2,florencia,1,5,2,13,4,2,anibal,2,2,2,14,4,2,1,25,1,4,1,20,2,,1,10,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,2,1,2,2,2,2,2,2,,3,1,5,3,1,3,3,2,3,3,1,3,1,3,1,1,3,2,2,3,2,2,3,3,1,3,1,3,3,3,1,,,,,,soriano,17,17,1,22,3,3,3,2,,1,1,3,2011,2,,ninguno,1,5,norma,4,5,2,44,3,1,ryman,4,5,2,34,3,1,alejandra,4,5,2,30,3,1,patricia,4,5,2,37,3,1,magdalena,4,5,2,37,3,1,1,5,20000,1,2,2,1,1,56,,5,4,8,,,,soriano,17,1,2,,34,ns_nc,3,soriano,17,8,,,,5,4,4,5,3,5,ns_nc,5,4,5,1,,4,2,1,1,1,8,8,8,1,1,1,2,1,2,1,1,1,1,1,10,5,1,10,10,10,10,8,10,10,10,1,3,10,5,10,5,10,10,10,5,10,9,10,5,4,5,3,2,4,1,1,5,7,8,10,10,10,10,1,1,4,9,4,4,5,2,12,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,1,4,4,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10000,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,158,.57999998,1.3099999,1532
